Ticker,std,r,VaR,ES
RIVN,0.072,-0.006,0.107,0.138
LCID,0.067,0.005,0.076,0.125
ENPH,0.053,0.003,0.074,0.105
MRNA,0.052,0.004,0.073,0.104
PDD,0.046,0.002,0.066,0.092
ZM,0.043,0.002,0.062,0.089
SEDG,0.04,0.002,0.056,0.085
ETSY,0.038,0.002,0.053,0.083
CZR,0.038,0.002,0.044,0.082
ZS,0.038,0.003,0.056,0.082
PCG,0.038,0.0,0.035,0.082
CRWD,0.04,0.003,0.054,0.082
TRGP,0.034,0.001,0.041,0.08
NCLH,0.034,0.0,0.042,0.079
AMD,0.037,0.002,0.051,0.078
FCX,0.034,0.001,0.05,0.077
DDOG,0.039,0.003,0.057,0.077
TSLA,0.036,0.003,0.049,0.076
APA,0.036,0.0,0.044,0.075
CCL,0.031,0.0,0.039,0.073
CEG,0.038,0.006,0.058,0.073
MRO,0.033,0.0,0.048,0.071
CDAY,0.029,0.001,0.044,0.071
GFS,0.041,0.004,0.06,0.07
RCL,0.031,0.001,0.037,0.07
UAL,0.031,0.001,0.039,0.069
DVN,0.032,0.001,0.045,0.069
FANG,0.033,0.001,0.045,0.069
HWM,0.029,0.001,0.038,0.068
AAL,0.031,0.001,0.044,0.068
BBWI,0.03,0.001,0.039,0.067
WYNN,0.03,0.0,0.042,0.067
FSLR,0.031,0.001,0.043,0.067
PAYC,0.029,0.002,0.044,0.065
OXY,0.03,0.0,0.037,0.065
ABNB,0.035,0.001,0.052,0.065
DXC,0.03,0.001,0.034,0.064
ANET,0.028,0.002,0.039,0.064
WDC,0.027,0.0,0.04,0.064
EQT,0.03,0.0,0.044,0.063
MU,0.029,0.001,0.046,0.063
OKE,0.028,0.001,0.034,0.063
ON,0.028,0.001,0.04,0.062
TEAM,0.029,0.002,0.044,0.062
DOW,0.028,0.001,0.035,0.062
MELI,0.028,0.002,0.042,0.062
HAL,0.028,0.0,0.038,0.062
QRVO,0.027,0.001,0.042,0.062
TPR,0.026,0.0,0.033,0.061
MGM,0.028,0.001,0.038,0.061
DXCM,0.03,0.002,0.038,0.061
LNC,0.027,0.001,0.037,0.061
URI,0.027,0.001,0.039,0.061
WMB,0.027,0.001,0.031,0.06
MOS,0.026,0.0,0.038,0.06
HES,0.027,0.001,0.039,0.059
MPC,0.026,0.001,0.037,0.059
JD,0.027,0.001,0.044,0.059
NFLX,0.027,0.002,0.037,0.058
ALGN,0.027,0.002,0.033,0.058
SGEN,0.027,0.001,0.04,0.058
NVDA,0.027,0.002,0.038,0.058
ALB,0.023,0.001,0.036,0.057
SYF,0.024,0.001,0.031,0.057
PXD,0.027,0.001,0.038,0.057
CARR,0.029,0.003,0.035,0.057
INCY,0.027,0.001,0.039,0.057
SIVB,0.025,0.001,0.037,0.057
CTVA,0.025,0.001,0.037,0.057
STX,0.024,0.001,0.036,0.057
BBY,0.025,0.001,0.035,0.056
NXPI,0.025,0.001,0.036,0.056
WDAY,0.024,0.001,0.037,0.056
EXPE,0.026,0.001,0.031,0.056
MTCH,0.027,0.001,0.037,0.056
ALK,0.025,0.001,0.034,0.056
EPAM,0.025,0.001,0.032,0.056
NOW,0.025,0.002,0.039,0.056
ILMN,0.024,0.001,0.034,0.056
NRG,0.024,0.001,0.032,0.055
CFG,0.024,0.001,0.034,0.055
DAL,0.025,0.001,0.034,0.055
LUMN,0.023,0.0,0.032,0.055
PARA,0.024,0.0,0.031,0.055
BKR,0.025,0.0,0.037,0.055
FOXA,0.024,0.001,0.037,0.055
VLO,0.025,0.001,0.036,0.055
SWKS,0.024,0.001,0.037,0.055
WRK,0.024,0.0,0.035,0.055
FOX,0.023,0.0,0.037,0.054
VTRS,0.024,-0.0,0.033,0.054
BA,0.024,0.001,0.03,0.054
CF,0.025,0.001,0.036,0.054
